Report Number,Route Type,Road Name,Cross-Street Name,Collision Type,Municipality,Weather,Surface Condition,Traffic Control,Speed Limit,Latitude,Longitude,Date,Time,Year,Month,Day
MCP2752004H,Municipality,WOOTTON PKWY,TOWER OAKS BLVD,SAME DIRECTION SIDESWIPE,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.06677832,-77.15352422,2021-12-19,14:51:00,2021,12,19
DD56280043,Maryland (State),FIRST ST,MAPLE AVE,SAME DIRECTION SIDESWIPE,ROCKVILLE,CLEAR,DRY,OTHER,30,39.08171667,-77.13734,2021-04-15,11:45:00,2021,4,15
DD5647000K,Maryland (State),ROCKVILLE PIKE,W EDMONSTON DR,SAME DIR REND RIGHT TURN,ROCKVILLE,CLEAR,DRY,,40,39.0740995,-77.13536433,2021-03-05,09:58:00,2021,3,5
DD5642003W,Maryland (State),FALLS RD,FALLSMEAD WAY,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLEAR,WET,NO CONTROLS,35,39.07158083,-77.16744067,2022-10-26,07:28:00,2022,10,26
DD5646001B,Maryland (State),NORBECK RD,AVERY RD,HEAD ON,ROCKVILLE,RAINING,WET,NO CONTROLS,50,39.09098738,-77.12768202,2021-08-20,07:47:00,2021,8,20
MCP3091003Q,Maryland (State),ROCKVILLE PIKE,HALPINE RD,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,40,39.06191217,-77.1243865,2022-07-23,07:30:00,2022,7,23
DD5655000M,Maryland (State),HUNGERFORD DR,N WASHINGTON ST,OTHER,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.09146118,-77.15301514,2022-08-22,13:45:00,2022,8,22
DD5643001R,Municipality,GAITHER RD,REDLAND BLVD,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,,DRY,TRAFFIC SIGNAL,35,39.1105734,-77.17458264,2021-08-19,11:05:00,2021,8,19
DD5648000P,Maryland (State),NORBECK RD,FIRST ST SPUR,SAME DIRECTION SIDESWIPE,ROCKVILLE,,DRY,,45,39.0867705,-77.13513883,2022-04-16,22:28:00,2022,4,16
DD5647001M,Municipality,LINCOLN ST,BURGUNDY DR,OPPOSITE DIRECTION SIDESWIPE,ROCKVILLE,CLEAR,DRY,NO CONTROLS,15,39.09194567,-77.14154183,2022-01-27,02:45:00,2022,1,27
MCP2016005R,Maryland (State),FREDERICK RD,RIDGEMONT AVE,SAME DIR REAR END,ROCKVILLE,CLOUDY,DRY,TRAFFIC SIGNAL,40,39.11849167,-77.17106,2021-11-29,14:23:00,2021,11,29
DD55020069,Maryland (State),W MONTGOMERY AVE,ADCLARE RD,SAME DIRECTION SIDESWIPE,ROCKVILLE,CLEAR,DRY,NO CONTROLS,30,39.08560942,-77.16906118,2022-01-27,13:25:00,2022,1,27
