Report Number,Route Type,Road Name,Cross-Street Name,Collision Type,Municipality,Weather,Surface Condition,Traffic Control,Speed Limit,Latitude,Longitude,Date,Time,Year,Month,Day
MCP25650024,Municipality,PLYERS MILL RD,CONCORD ST,SAME DIR BOTH LEFT TURN,KENSINGTON,CLEAR,DRY,TRAFFIC SIGNAL,25,39.02966911,-77.07507849,2015-10-30,19:00:00,2015,10,30
DD56550007,Municipality,MARYLAND AVE,MONUMENT ST,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,NO CONTROLS,30,39.07747312,-77.15913935,2022-04-13,17:11:00,2022,4,13
MCP14170061,Maryland (State),FREDERICK RD,CHRISTOPHER AVE,SAME DIR REAR END,GAITHERSBURG,RAINING,WET,NO CONTROLS,35,39.15538113,-77.21571743,2016-11-09,08:36:00,2016,11,9
MCP2455000X,Maryland (State),FREDERICK RD,W GUDE DR,OTHER,ROCKVILLE,CLEAR,DRY,,40,39.107058,-77.158768,2015-11-25,11:01:00,2015,11,25
DD56060037,Maryland (State),ROCKVILLE PIKE,WOOTTON PKWY,SAME DIR REAR END,ROCKVILLE,CLOUDY,WET,NO CONTROLS,40,39.07651333,-77.138675,2016-04-12,09:31:00,2016,4,12
MCP2859005K,Maryland (State),GREAT SENECA HWY,LAKELANDS DR,SAME DIR REAR END,GAITHERSBURG,CLEAR,DRY,NO CONTROLS,35,39.12074833,-77.22511667,2018-08-23,12:00:00,2018,8,23
MCP2689003N,Maryland (State),FALLS RD,DUNSTER RD,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,NO CONTROLS,35,39.06370266,-77.17597783,2017-09-23,13:58:00,2017,9,23
EJ7856001H,Maryland (State),FREDERICK RD,CHESTNUT ST,SAME DIRECTION RIGHT TURN,GAITHERSBURG,CLEAR,DRY,NO CONTROLS,30,39.14212333,-77.203335,2016-06-13,14:59:00,2016,6,13
MCP3168004T,Maryland (State),VEIRS MILL RD,BROADWOOD DR,SAME DIR REAR END,ROCKVILLE,RAINING,WET,TRAFFIC SIGNAL,35,39.07709725,-77.12348367,2022-10-23,18:19:00,2022,10,23
MCP3125002F,Maryland (State),DARNESTOWN RD,TSCHIFFELY SQUARE RD,SAME DIR REAR END,GAITHERSBURG,CLEAR,DRY,TRAFFIC SIGNAL,40,39.116455,-77.24865167,2020-07-23,17:15:00,2020,7,23
MCP3257003C,Maryland (State),WISCONSIN AVE,S PARK AVE,SAME DIR REAR END,FRIENDSHIP HEIGHTS,CLEAR,DRY,NO CONTROLS,25,38.96384161,-77.0873102,2021-11-07,16:35:00,2021,11,7
EJ7866003V,Maryland (State),FREDERICK RD,ODENDHAL AVE,SAME DIR REAR END,GAITHERSBURG,CLEAR,DRY,NO CONTROLS,30,39.14871333,-77.20729667,2018-06-12,07:10:00,2018,6,12
DD5590001H,Municipality,WOOTTON PKWY,PRESERVE PKWY,SINGLE VEHICLE,ROCKVILLE,CLEAR,DRY,,40,39.06675333,-77.15268167,2017-11-11,09:15:00,2017,11,11
MCP3271001D,Municipality,DORSET AVE,WARWICK PL,OPPOSITE DIRECTION SIDESWIPE,SOMERSET,CLEAR,DRY,NO CONTROLS,25,38.96780618,-77.09366837,2021-09-10,18:00:00,2021,9,10
DD5631004P,Maryland (State),VEIRS MILL RD,BROADWOOD DR,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.07737717,-77.1235995,2023-01-17,22:00:00,2023,1,17
MCP2286003P,County,SHADY GROVE RD,CHOKE CHERRY RD,SAME DIR REAR END,ROCKVILLE,RAINING,WET,TRAFFIC SIGNAL,40,39.11241333,-77.18691833,2021-09-05,11:40:00,2021,9,5
MCP1554000N,Maryland (State),FREDERICK RD,KING FARM BLVD,SAME DIR REND LEFT TURN,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,45,39.11715333,-77.16881167,2015-04-15,20:40:00,2015,4,15
DD56110054,Municipality,W GUDE DR,GAITHER RD,SINGLE VEHICLE,ROCKVILLE,CLEAR,DRY,NO CONTROLS,40,39.10669833,-77.16453833,2018-08-24,07:55:00,2018,8,24
EJ7836000D,Municipality,W DEER PARK RD,BUTTRY RD,STRAIGHT MOVEMENT ANGLE,GAITHERSBURG,CLEAR,DRY,STOP SIGN,25,39.13415833,-77.20409,2016-11-05,03:00:00,2016,11,5
MCP3060000J,County,MONTROSE RD,FARM HAVEN DR,UNKNOWN,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.05427367,-77.14287133,2017-10-10,17:44:00,2017,10,10
DM8445000F,Municipality,HEATHER AVE,ELM AVE,OTHER,TAKOMA PARK,SNOW,SNOW,,15,38.979805,-76.992671,2015-02-17,11:56:00,2015,2,17
DD56040036,Municipality,E GUDE DR,ROTHGEB DR,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,30,39.09565067,-77.13388283,2020-02-11,16:46:00,2020,2,11
MCP2748001D,Maryland (State),KNOWLES AVE,WEYMOUTH ST,SINGLE VEHICLE,GARRETT PARK,,,,40,38.9977415,-77.10972283,2019-10-25,22:04:00,2019,10,25
MCP1334006H,County,FIELDS RD,RIO BLVD,OPPOSITE DIRECTION SIDESWIPE,GAITHERSBURG,CLEAR,DRY,NO CONTROLS,10,39.11632167,-77.20436333,2018-04-23,08:37:00,2018,4,23
DD5583003D,Maryland (State),ROCKVILLE PIKE,RICHARD MONTGOMERY DR,SINGLE VEHICLE,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,40,39.08033071,-77.14409441,2017-10-31,14:45:00,2017,10,31
